AERONET Version 3
Sao_Paulo
Version 3: Almucantar Level 1.5 Inversion
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
All Points,Contact: PI=Paulo_Artaxo; PI Email=artaxo@if.usp.br 
UNITS can be found at,,, https://aeronet.gsfc.nasa.gov/new_web/units.html
Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),Refractive_Index-Real_Part[440nm],Refractive_Index-Real_Part[675nm],Refractive_Index-Real_Part[870nm],Refractive_Index-Real_Part[1020nm],Refractive_Index-Imaginary_Part[440nm],Refractive_Index-Imaginary_Part[675nm],Refractive_Index-Imaginary_Part[870nm],Refractive_Index-Imaginary_Part[1020nm],Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
Sao_Paulo,01:11:2016,19:05:07,306,306.795220,1.580100,1.583800,1.600000,1.600000,0.005423,0.006541,0.007205,0.007280,60.975558,60.290943,3.891324,0.252874,0.244025,3,10,5,5,3,8,6,5,3,10,6,4,3,10,8,4,0.057300,0.109570,0.227650,0.238560,1,1,09:02:2021,09:38:47,195,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,08:11:2016,18:41:57,313,313.779132,1.330000,1.371800,1.399100,1.415800,0.003920,0.004405,0.004522,0.004498,54.977567,54.292999,3.851016,0.159580,0.625473,4,10,8,2,4,10,8,2,4,10,8,2,4,10,8,2,0.055970,0.105870,0.221560,0.232540,0,1,09:02:2021,10:50:00,195,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,08:11:2016,19:08:22,313,313.797477,1.408800,1.433300,1.451400,1.459600,0.001272,0.001361,0.001455,0.001486,60.992134,60.310472,2.467369,0.035468,0.635931,3,10,8,4,3,7,4,3,3,8,3,3,2,4,4,3,0.057750,0.110210,0.231920,0.242540,0,1,09:02:2021,10:49:10,195,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,08:11:2016,19:54:47,313,313.829711,1.411000,1.418800,1.424900,1.425700,0.005527,0.004132,0.003828,0.003724,71.477380,70.803797,2.073340,0.008600,0.691754,4,10,7,6,4,10,7,4,4,10,7,4,4,10,7,3,0.062570,0.121940,0.259400,0.269050,1,1,09:02:2021,10:48:55,195,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,26:12:2016,19:33:33,361,361.814965,1.600000,1.600000,1.600000,1.600000,0.001024,0.001018,0.001012,0.001015,60.967764,60.303164,17.885781,0.344295,0.085751,3,10,7,4,3,10,6,1,3,10,7,1,3,10,7,1,0.056860,0.108540,0.226910,0.237840,0,1,09:02:2021,15:22:14,195,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,29:03:2017,18:54:48,88,88.788056,1.523200,1.519300,1.517100,1.518300,0.000500,0.000500,0.000500,0.000500,61.386299,60.735386,4.446091,0.155351,0.066120,3,10,7,4,3,10,6,5,2,10,6,3,3,10,6,2,0.057200,0.108780,0.231980,0.241700,0,1,10:02:2021,01:47:45,195,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,15:04:2017,18:08:58,105,105.756227,1.403900,1.425100,1.438300,1.445900,0.000648,0.000649,0.000649,0.000649,56.313646,55.727538,16.253745,0.126596,0.182451,4,10,8,4,4,10,8,3,4,10,7,3,4,10,4,4,0.054580,0.102340,0.213190,0.222860,0,1,10:02:2021,04:28:03,195,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,03:05:2017,13:05:48,123,123.545694,1.489500,1.462400,1.476600,1.483000,0.011115,0.010079,0.010410,0.010212,48.365236,48.793675,2.744892,0.145277,0.216304,4,10,7,4,4,10,7,4,2,11,7,3,3,11,6,4,0.051200,0.096130,0.195430,0.205400,0,1,11:07:2018,10:36:44,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,03:05:2017,14:05:50,123,123.587384,1.455800,1.435400,1.455200,1.455500,0.011658,0.009998,0.009899,0.009914,41.612900,41.854452,4.393520,0.267977,0.242359,4,11,8,2,4,5,8,2,4,10,7,1,4,10,6,1,0.050190,0.094210,0.190730,0.201150,0,1,11:07:2018,10:37:12,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,03:05:2017,16:05:48,123,123.670694,1.450700,1.436300,1.450300,1.450300,0.015840,0.013615,0.013705,0.013812,42.491050,42.222140,4.497848,0.351983,0.270437,4,10,9,2,4,11,8,2,4,11,7,2,4,10,5,2,0.050330,0.094410,0.191090,0.201340,0,1,11:07:2018,10:37:08,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,03:05:2017,17:05:47,123,123.712350,1.467300,1.450900,1.470100,1.474200,0.020000,0.014611,0.015236,0.015316,49.860858,49.415432,4.223451,0.162800,0.403271,3,10,8,4,3,9,8,4,3,10,4,4,3,10,5,4,0.051540,0.096620,0.196270,0.205860,0,1,11:07:2018,10:37:11,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,03:05:2017,19:30:22,123,123.812755,1.435300,1.384500,1.379600,1.373100,0.008907,0.008502,0.009786,0.010705,76.681406,76.057827,3.526190,0.009934,0.734803,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,5,0.063260,0.118430,0.245470,0.249890,1,1,11:07:2018,10:38:29,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,09:05:2017,14:05:26,129,129.587106,1.597600,1.584900,1.594700,1.600000,0.026310,0.026438,0.026270,0.026079,43.188862,43.421203,7.013153,0.239182,0.080531,4,10,9,1,3,10,8,2,3,10,6,1,4,10,5,1,0.051050,0.095890,0.190780,0.202000,0,1,11:07:2018,10:36:33,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,09:05:2017,18:05:24,129,129.753750,1.548100,1.530800,1.554500,1.566400,0.021999,0.020028,0.019890,0.019714,61.042042,60.503225,3.656764,0.070668,0.144555,3,10,8,5,3,10,8,4,3,10,8,4,3,10,8,4,0.054760,0.103030,0.206150,0.215720,1,1,11:07:2018,10:36:39,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,09:05:2017,18:16:31,129,129.761470,1.468800,1.475000,1.497800,1.507500,0.015810,0.012739,0.012962,0.013243,63.072017,62.519196,3.112731,0.064791,0.144145,3,10,8,5,3,10,8,4,3,10,8,4,3,10,7,3,0.055440,0.104370,0.208990,0.218310,1,1,11:07:2018,10:36:59,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,09:05:2017,19:01:08,129,129.792454,1.564200,1.554200,1.590600,1.593600,0.025503,0.019416,0.021353,0.024347,71.662783,71.066231,2.959972,0.088434,0.156185,4,10,7,6,4,10,7,5,4,10,7,4,4,10,7,2,0.059360,0.112050,0.225170,0.233150,0,1,11:07:2018,10:37:10,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,09:05:2017,19:25:50,129,129.809606,1.446500,1.459700,1.490400,1.503800,0.023376,0.016856,0.021677,0.025572,76.655444,76.042075,3.129885,0.046178,0.164211,4,10,7,6,4,10,7,4,4,10,4,3,4,9,6,2,0.062730,0.118650,0.238970,0.245860,0,1,11:07:2018,10:37:10,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,12:05:2017,12:05:18,132,132.503681,1.600000,1.600000,1.600000,1.600000,0.000500,0.000500,0.000500,0.000500,59.733585,60.257389,11.925939,0.780338,0.086927,3,10,5,5,3,10,5,2,3,9,5,3,3,10,5,1,0.054250,0.102310,0.205190,0.215420,0,1,10:02:2021,08:44:34,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,12:05:2017,16:05:20,132,132.670370,1.552900,1.521300,1.542100,1.536600,0.031315,0.019194,0.020258,0.023266,44.750368,44.495762,2.813568,0.170016,0.192223,4,10,6,3,4,10,8,3,4,10,8,1,4,10,6,1,0.051270,0.096280,0.191520,0.202550,0,1,11:07:2018,10:37:19,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,12:05:2017,17:05:19,132,132.712025,1.500300,1.474800,1.491700,1.497200,0.016016,0.009103,0.008515,0.008404,51.782633,51.355008,3.215953,0.181158,0.223591,3,10,8,4,3,10,8,4,3,10,8,4,3,10,7,2,0.052430,0.098500,0.196400,0.206890,0,1,11:07:2018,10:36:54,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,13:05:2017,10:47:01,133,133.449317,1.416500,1.418500,1.435300,1.441700,0.013028,0.008428,0.008093,0.007936,74.658801,75.261223,2.853441,0.039911,0.131617,4,10,7,6,4,10,6,6,4,10,6,5,4,10,5,4,0.060960,0.115930,0.234850,0.243600,1,1,11:07:2018,10:36:59,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,13:05:2017,11:11:55,133,133.466609,1.452200,1.452100,1.469600,1.482000,0.017628,0.010723,0.011055,0.010455,69.745360,70.328323,3.194411,0.060394,0.137385,4,10,7,6,4,10,7,5,4,10,7,6,4,10,7,5,0.058100,0.110110,0.222230,0.231570,1,1,11:07:2018,10:36:46,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,13:05:2017,12:05:18,133,133.503681,1.469800,1.469700,1.501900,1.508800,0.018453,0.012077,0.011212,0.011100,59.899610,60.421773,3.323246,0.067764,0.159331,3,10,8,5,3,10,8,4,3,10,8,3,3,10,8,3,0.054290,0.102400,0.205400,0.215620,1,1,11:07:2018,10:36:44,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,13:05:2017,13:05:18,133,133.545347,1.542800,1.524600,1.543200,1.533500,0.024315,0.013231,0.014675,0.015788,50.548836,50.957690,3.451175,0.218595,0.180184,3,10,8,4,3,10,8,3,2,10,8,1,3,10,7,1,0.052140,0.098070,0.195760,0.206600,0,1,11:07:2018,10:37:11,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,13:05:2017,19:23:06,133,133.807708,1.530300,1.530100,1.559900,1.562300,0.008745,0.004637,0.004022,0.003958,76.627283,76.020575,2.835541,0.029409,0.141197,4,10,7,6,4,9,2,5,4,10,3,4,4,10,3,3,0.062710,0.118610,0.238880,0.245800,0,1,11:07:2018,10:36:55,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,15:05:2017,17:05:19,135,135.712025,1.546200,1.530000,1.508000,1.509100,0.001979,0.001804,0.001866,0.001895,52.356208,51.933808,5.990413,0.167411,0.068237,3,10,5,4,3,8,6,3,3,10,7,2,3,9,2,1,0.052540,0.098720,0.196890,0.207340,0,1,11:07:2018,10:37:10,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,15:05:2017,18:56:44,135,135.789398,1.511100,1.492700,1.527100,1.527200,0.025518,0.016398,0.014746,0.016019,71.626619,71.041709,2.684265,0.024871,0.088462,4,10,7,6,4,10,7,5,4,10,7,4,4,10,7,3,0.059340,0.112010,0.225100,0.233100,1,1,11:07:2018,10:36:57,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,15:05:2017,19:21:51,135,135.806840,1.562000,1.524800,1.523900,1.532600,0.024833,0.013673,0.016265,0.017342,76.614294,76.010821,2.978358,0.031074,0.097822,3,10,7,6,4,10,7,6,4,10,6,5,4,10,7,4,0.062690,0.118590,0.238860,0.245770,1,1,11:07:2018,10:36:59,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,25:05:2017,13:05:54,145,145.545764,1.476100,1.437100,1.456700,1.457900,0.009186,0.006559,0.006485,0.006526,52.641259,53.032414,4.151879,0.199302,0.233965,3,10,8,4,3,9,8,3,3,10,7,2,3,7,3,3,0.050110,0.095220,0.189150,0.200070,0,1,11:07:2018,10:37:17,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,25:05:2017,14:05:57,145,145.587465,1.480900,1.450500,1.455400,1.452600,0.009680,0.007732,0.007542,0.007666,46.557263,46.771833,5.186103,0.300571,0.208822,4,10,8,3,4,10,8,2,4,10,6,2,4,5,4,3,0.049150,0.093430,0.184940,0.196150,0,1,11:07:2018,10:37:22,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,25:05:2017,15:05:56,145,145.629120,1.420600,1.421800,1.426800,1.428900,0.000500,0.000500,0.000500,0.000500,44.618832,44.604456,8.385433,0.550022,0.229478,4,10,8,3,4,10,8,3,4,10,7,3,4,10,7,1,0.048920,0.092970,0.183810,0.195060,0,1,10:02:2021,10:53:37,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
Sao_Paulo,25:05:2017,16:05:56,145,145.670787,1.369100,1.390500,1.411000,1.412600,0.000500,0.000500,0.000500,0.000500,47.331732,47.092444,9.065069,0.587505,0.263436,4,10,8,2,4,5,8,3,4,3,7,3,4,8,8,2,0.049280,0.093610,0.185250,0.196320,0,1,10:02:2021,10:54:28,104,-23.561500,-46.734983,786.000000,lev15,Almucantar
