Diadema 2016-2017, ACSM, concentracoes em ug/m3
data_matlab,ano,mes,dia,horautc,minuto,segundo,org,so4,no3,nh4,chl,ooa,bboa,hoa55,hoa57
736656,2016,11,22,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.020833333,2016,11,22,0,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.041666667,2016,11,22,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.0625,2016,11,22,1,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.083333333,2016,11,22,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.104166667,2016,11,22,2,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.125,2016,11,22,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.145833333,2016,11,22,3,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.166666667,2016,11,22,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.1875,2016,11,22,4,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.208333333,2016,11,22,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.229166667,2016,11,22,5,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.25,2016,11,22,6,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.270833333,2016,11,22,6,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.291666667,2016,11,22,7,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.3125,2016,11,22,7,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.333333333,2016,11,22,8,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.354166667,2016,11,22,8,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.375,2016,11,22,9,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.395833333,2016,11,22,9,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.416666667,2016,11,22,10,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.4375,2016,11,22,10,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.458333333,2016,11,22,11,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.479166667,2016,11,22,11,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.5,2016,11,22,12,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.520833333,2016,11,22,12,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.541666667,2016,11,22,13,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.5625,2016,11,22,13,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.583333333,2016,11,22,14,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.604166667,2016,11,22,14,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.625,2016,11,22,15,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.645833333,2016,11,22,15,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.666666667,2016,11,22,16,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.6875,2016,11,22,16,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.708333333,2016,11,22,17,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.729166667,2016,11,22,17,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.75,2016,11,22,18,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.770833333,2016,11,22,18,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.791666667,2016,11,22,19,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.8125,2016,11,22,19,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.833333333,2016,11,22,20,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.854166667,2016,11,22,20,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.875,2016,11,22,21,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.895833333,2016,11,22,21,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.916666667,2016,11,22,22,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.9375,2016,11,22,22,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.958333333,2016,11,22,23,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736656.979166667,2016,11,22,23,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657,2016,11,23,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.020833333,2016,11,23,0,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.041666667,2016,11,23,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.0625,2016,11,23,1,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.083333333,2016,11,23,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.104166667,2016,11,23,2,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.125,2016,11,23,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.145833333,2016,11,23,3,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.166666667,2016,11,23,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.1875,2016,11,23,4,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.208333333,2016,11,23,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.229166667,2016,11,23,5,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.25,2016,11,23,6,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.270833333,2016,11,23,6,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.291666667,2016,11,23,7,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.3125,2016,11,23,7,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.333333333,2016,11,23,8,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.354166667,2016,11,23,8,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.375,2016,11,23,9,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.395833333,2016,11,23,9,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.416666667,2016,11,23,10,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.4375,2016,11,23,10,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.458333333,2016,11,23,11,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.479166667,2016,11,23,11,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.5,2016,11,23,12,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.520833333,2016,11,23,12,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.541666667,2016,11,23,13,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.5625,2016,11,23,13,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.583333333,2016,11,23,14,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.604166667,2016,11,23,14,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.625,2016,11,23,15,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.645833333,2016,11,23,15,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.666666667,2016,11,23,16,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.6875,2016,11,23,16,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.708333333,2016,11,23,17,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.729166667,2016,11,23,17,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.75,2016,11,23,18,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.770833333,2016,11,23,18,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.791666667,2016,11,23,19,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.8125,2016,11,23,19,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.833333333,2016,11,23,20,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.854166667,2016,11,23,20,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.875,2016,11,23,21,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.895833333,2016,11,23,21,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.916666667,2016,11,23,22,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.9375,2016,11,23,22,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.958333333,2016,11,23,23,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736657.979166667,2016,11,23,23,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736658,2016,11,24,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736658.020833333,2016,11,24,0,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736658.041666667,2016,11,24,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736658.0625,2016,11,24,1,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736658.083333333,2016,11,24,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
736658.104166667,2016,11,24,2,30,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
